id,pair
00055dab88e4,pt-BR>es-419
0005aa7beb54,it-IT>es-419
000984818fab,es-419>fr-FR
000b849bf227,de-DE>es-419
000bf4f6c537,fr-FR>ja-JP
000fee6dc940,pt-BR>ja-JP
00106ff5a6ab,es-419>fr-FR
001986da1af7,it-IT>es-419
001b69cbe6bf,it-IT>ja-JP
001b95686ff7,fr-FR>es-419
001de17acd02,ru-RU>de-DE
0026cd3dd51b,it-IT>es-419
00282c4bba3e,es-419>ru-RU
002a2a929eda,de-DE>pt-BR
00311c3710ca,fr-FR>it-IT
003260a4ec32,ja-JP>pt-BR
0037e3d81a3f,fr-FR>pt-BR
0047347cf208,es-419>fr-FR
004850343f71,fr-FR>it-IT
004bf7693a7a,it-IT>ru-RU
004c43071fbc,de-DE>fr-FR
004c6e7d8879,de-DE>ru-RU
00530bec958e,it-IT>ja-JP
005480b265d3,es-419>ru-RU
0056491d282a,pt-BR>ru-RU
005dc5db6c3e,fr-FR>es-419
006ee0a836d1,ru-RU>fr-FR
0070384fd926,pt-BR>de-DE
0073c0d2ff70,fr-FR>pt-BR
0073fb772148,de-DE>fr-FR
00760a9fbf95,it-IT>es-419
00777d248fe9,ja-JP>it-IT
00875a2593ad,pt-BR>ja-JP
008de97b751f,it-IT>de-DE
008fe5be2372,es-419>ja-JP
009394f2a4e8,es-419>it-IT
0096c27221f8,fr-FR>de-DE
0097ea04ca85,pt-BR>es-419
00a585052ea1,it-IT>de-DE
00aa4be2b486,pt-BR>ja-JP
00aa4e4544f2,es-419>ja-JP
00aa7544d00d,it-IT>ja-JP
00aaa1ec285f,fr-FR>de-DE
00afcd5ba3eb,de-DE>it-IT
00b1fa3cbf7e,de-DE>it-IT
00b96d7d8fa9,es-419>ja-JP
00ba79e9a226,fr-FR>pt-BR
00bbe150cb03,es-419>fr-FR
00c07686d778,ja-JP>de-DE
00c0c2ec4a19,ja-JP>pt-BR
00c37e80db43,pt-BR>es-419
00c98c5b3f6e,de-DE>es-419
00cf925b1c46,fr-FR>es-419
00d40cb4b599,it-IT>fr-FR
00d624c7abb1,pt-BR>de-DE
00e8bfcafa1c,ja-JP>it-IT
00edc925e1b3,it-IT>es-419
00ef1236f06c,pt-BR>es-419
00ef18dd49d6,it-IT>es-419
00f13b6f386b,de-DE>it-IT
00f3f19def4c,fr-FR>it-IT
00f9028006c1,it-IT>de-DE
00fa28c585b9,pt-BR>de-DE
00fafc37109d,ja-JP>es-419
00fbb914b08f,pt-BR>fr-FR
00fc2cfa2159,pt-BR>de-DE
01081876c0f6,es-419>it-IT
0109dd84ba7a,pt-BR>de-DE
01178d7b4b85,it-IT>de-DE
0117e88bae4e,it-IT>ja-JP
011cc0dbf42b,de-DE>es-419
011ce0376c72,it-IT>ja-JP
011e5645891c,fr-FR>it-IT
01208a79f610,it-IT>es-419
0120b48ec97e,es-419>pt-BR
0121d0ab3fde,fr-FR>it-IT
012639637b90,ja-JP>de-DE
01271080f74e,fr-FR>ja-JP
0129d61d7c58,ja-JP>es-419
0130f51eedbc,pt-BR>de-DE
013b7ef0523f,pt-BR>de-DE
013c70d1640d,de-DE>fr-FR
014574fd5ba2,de-DE>es-419
014b37edaff0,fr-FR>es-419
014d51e86abb,fr-FR>it-IT
015242b4ca2f,ru-RU>de-DE
0156b6732ed6,it-IT>es-419
015809cc2dec,it-IT>ru-RU
01584ae8efd7,de-DE>it-IT
015b1a5dc77f,ja-JP>ru-RU
01601a48665a,fr-FR>ja-JP
01696f049c0d,fr-FR>ja-JP
016cc6f585a7,pt-BR>fr-FR
01704b164233,ja-JP>pt-BR
0171260cc139,ja-JP>pt-BR
01714b68c725,fr-FR>pt-BR
017465ea4225,fr-FR>de-DE
01782cfdbeb0,ja-JP>it-IT
0179aef49211,de-DE>fr-FR
017feb1f3824,de-DE>pt-BR
0182ccbd2877,es-419>fr-FR
018494f70e76,de-DE>es-419
0186e54a5b79,ja-JP>it-IT
0187bfc6aba2,ja-JP>de-DE
018c11bec72f,pt-BR>de-DE
019011062ef5,de-DE>es-419
019465290175,es-419>ja-JP
019a1131ad14,ja-JP>it-IT
019ab0faaff5,es-419>ja-JP
019b7f07db97,fr-FR>ja-JP
01a050e3faf2,it-IT>fr-FR
01a406306a17,ja-JP>it-IT
01a4794927d4,fr-FR>es-419
01a4a46b1e0b,de-DE>it-IT
01b1428a0ab2,fr-FR>es-419
01b20ab8bbd0,ru-RU>it-IT
01b933ecc96a,it-IT>de-DE
01b939653f57,ja-JP>pt-BR
01ba735d9277,es-419>it-IT
01bc58867c26,es-419>pt-BR
01c5be763cc6,it-IT>de-DE
01cb050dd515,ja-JP>pt-BR
01cd2c9c0a4d,es-419>it-IT
01d35d82dff3,es-419>fr-FR
01d8efa8a896,es-419>pt-BR
01da4fbf7b0d,es-419>pt-BR
01e22e7ba6f8,pt-BR>fr-FR
01e65604aca1,it-IT>fr-FR
01ea5d40d740,es-419>ja-JP
01ed519f0ea1,es-419>ja-JP
01f14799b5eb,fr-FR>es-419
01f29ebab9ed,fr-FR>es-419
01f3236d446e,ja-JP>es-419
01f3f1c9a040,pt-BR>ja-JP
